ARK	TYPE	VALUE	SOURCE
21198/zz0013x5wx	typeOfResource	text	MODS
21198/zz002k355g	typeOfResource	text	MODS
21198/zz00096qss	typeOfResource	text	MODS
21198/zz002k3jdd	typeOfResource	text	MODS
21198/zz002hvs2n	typeOfResource	text	MODS
21198/zz002938zh	typeOfResource	text	MODS
21198/zz002k357h	typeOfResource	text	MODS
21198/zz002kcbkp	typeOfResource	text	MODS
21198/zz001nw2bc	typeOfResource	text	MODS
21198/zz002jj8t5	typeOfResource	text	MODS
21198/zz001hppjt	typeOfResource	text	MODS
21198/zz002knx79	typeOfResource	text	MODS
21198/zz00096b76	typeOfResource	text	MODS
21198/zz0009d4jn	typeOfResource	text	MODS
21198/zz002kd60d	typeOfResource	text	MODS
21198/zz002938x0	typeOfResource	text	MODS
21198/zz00096tjm	typeOfResource	text	MODS
21198/zz002kdgk2	typeOfResource	text	MODS
21198/zz002hjgs4	typeOfResource	text	MODS
21198/zz002khs9m	typeOfResource	text	MODS
21198/zz00096qqr	typeOfResource	text	MODS
21198/zz002kd0k9	typeOfResource	text	MODS
21198/zz0028vg4f	typeOfResource	text	MODS
21198/zz002hgc7h	typeOfResource	text	MODS
21198/zz002kcr6s	typeOfResource	text	MODS
21198/zz002kcqtm	typeOfResource	text	MODS
21198/zz002ddg06	typeOfResource	text	MODS
21198/zz002jxzf2	typeOfResource	text	MODS
21198/zz002kc3js	typeOfResource	text	MODS
21198/zz0025mns9	typeOfResource	text	MODS
21198/zz002k31m8	typeOfResource	text	MODS
21198/zz002gw17n	typeOfResource	text	MODS
21198/zz002gw0pw	typeOfResource	text	MODS
21198/zz001nw2dd	typeOfResource	text	MODS
21198/zz002kd7g4	typeOfResource	text	MODS
21198/zz002hjqpz	typeOfResource	text	MODS
21198/zz002hdpdj	typeOfResource	text	MODS
21198/zz002knx2q	typeOfResource	text	MODS
21198/zz002k353f	typeOfResource	text	MODS
21198/zz002kds6q	typeOfResource	text	MODS
21198/zz002bwvb4	typeOfResource	text	MODS
21198/zz000975hc	typeOfResource	text	MODS
21198/zz002jkbdc	typeOfResource	text	MODS
21198/zz001bmspc	typeOfResource	text	MODS
21198/zz002j764t	typeOfResource	text	MODS
21198/zz002cdss1	typeOfResource	text	MODS
21198/zz002bp8zj	typeOfResource	text	MODS
21198/zz002jxzjm	typeOfResource	text	MODS
21198/zz001d0rf1	typeOfResource	text	MODS
